Date,Team 1,Team 2,Score 1,Score 2
1/10/2026,North Carolina Central,Coppin St.,88,77
1/10/2026,Dartmouth,Cornell,102,91
1/10/2026,St. John's,Creighton,90,73
1/10/2026,Rhode Island,Davidson,70,45
1/10/2026,Norfolk St.,Delaware St.,66,64
1/10/2026,Belmont,Drake,78,76
1/10/2026,William & Mary,Drexel,58,64
1/10/2026,SMU,Duke,75,82
1/10/2026,UNC Greensboro,East Tennessee St.,60,86
1/10/2026,UT Rio Grande Valley,East Texas A&M,69,77
1/10/2026,Tennessee St.,Eastern Illinois,70,74
1/10/2026,Central Arkansas,Eastern Kentucky,75,79
1/10/2026,Montana,Eastern Washington,65,66
1/10/2026,Campbell,Elon,82,83
1/10/2026,Tennessee,Florida,67,91
1/10/2026,Southern,Florida A&M,59,67
1/10/2026,Lipscomb,Florida Gulf Coast,84,77
1/10/2026,N.C. State,Florida St.,113,69
1/10/2026,VMI,Furman,48,69
1/10/2026,VCU,George Mason,80,86
1/10/2026,Loyola Chicago,George Washington,66,101
1/10/2026,Seton Hall,Georgetown,76,67
1/10/2026,Marshall,Georgia St.,73,81
1/10/2026,San Jose St.,Grand Canyon,58,76
1/10/2026,UC Irvine,Hawaii,66,67
1/10/2026,Monmouth,Hofstra,64,67
1/10/2026,Montana St.,Idaho,89,92
1/10/2026,Illinois Chicago,Illinois St.,63,59
1/10/2026,Nebraska,Indiana,83,77
1/10/2026,Evansville,Indiana St.,72,69
1/10/2026,Oklahoma St.,Iowa St.,71,83
1/10/2026,West Georgia,Jacksonville,43,75
1/10/2026,Old Dominion,James Madison,69,70
1/10/2026,North Dakota,Kansas City,81,79
1/10/2026,Jacksonville St.,Kennesaw St.,82,88
1/10/2026,Mississippi St.,Kentucky,68,92
1/10/2026,Saint Louis,La Salle,84,72
1/10/2026,Incarnate Word,Lamar,51,63
1/10/2026,Central Connecticut,Le Moyne,69,59
1/10/2026,Little Rock,Lindenwood,82,74
1/10/2026,Saint Francis,LIU,63,67
1/10/2026,Cal St. Bakersfield,Long Beach St.,75,81
1/10/2026,Presbyterian,Longwood,70,77
1/10/2026,Troy,Louisiana,90,70
1/10/2026,Delaware,Louisiana Tech,68,70
1/10/2026,Boston College,Louisville,62,75
1/10/2026,Villanova,Marquette,76,73
1/10/2026,Howard,Maryland Eastern Shore,57,69
1/10/2026,Ball St.,Massachusetts,71,79
1/10/2026,Southeastern Louisiana,McNeese,61,73
1/10/2026,Wofford,Mercer,97,109
1/10/2026,Georgia Tech,Miami FL,81,91
1/10/2026,Wisconsin,Michigan,91,88
1/10/2026,Missouri,Mississippi,69,76
1/10/2026,FIU,Missouri St.,71,79
1/10/2026,Southeast Missouri,Morehead St.,69,71
1/10/2026,South Carolina St.,Morgan St.,67,72
1/10/2026,Valparaiso,Murray St.,79,92
1/10/2026,Lafayette,Navy,50,76
1/10/2026,North Dakota St.,Nebraska Omaha,78,76
1/10/2026,Wyoming,Nevada,83,92
1/10/2026,Fairleigh Dickinson,New Haven,55,65
1/10/2026,Middle Tennessee,New Mexico St.,59,55
1/10/2026,Nicholls,New Orleans,90,77
1/10/2026,Maine,NJIT,74,70
1/10/2026,Wake Forest,North Carolina,84,87
1/10/2026,Queens,North Florida,89,82
